0,1,2,3,4
"{'student_id': 1, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.5731639355789043, 'quiz_score': 0.803078781038372, 'interactive_engagement': 0.4318568493727104, 'time_spent': 20.450199504070557}","{'student_id': 1, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.5464878212417558, 'quiz_score': 0.9745007071342775, 'interactive_engagement': 0.5369390992965472, 'time_spent': 37.3481453226312}","{'student_id': 1, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.4208119236311388, 'quiz_score': 0.9047092730829253, 'interactive_engagement': 0.7204716517570178, 'time_spent': 33.48730157463595}","{'student_id': 1, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.37320757410865557, 'quiz_score': 0.8053101697049777, 'interactive_engagement': 0.5651702733779871, 'time_spent': 27.194171726909445}","{'student_id': 1, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.4651357245579581, 'quiz_score': 0.8597636824627435, 'interactive_engagement': 0.5721925867392341, 'time_spent': 34.281931408621055}"
"{'student_id': 2, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.25155476771161384, 'quiz_score': 0.6949744882302735, 'interactive_engagement': 0.33528689696749797, 'time_spent': 55.981016136524715}","{'student_id': 2, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.5275832689084813, 'quiz_score': 0.5868302304415149, 'interactive_engagement': 0.3119424005968621, 'time_spent': 59.40163490754078}","{'student_id': 2, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.46617190206058223, 'quiz_score': 0.8293376680147103, 'interactive_engagement': 0.3134947222386273, 'time_spent': 63.469359460813436}","{'student_id': 2, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.4333067359165328, 'quiz_score': 0.7877137037672033, 'interactive_engagement': 0.4260507015377868, 'time_spent': 60.229094376388225}","{'student_id': 2, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.16533913747150494, 'quiz_score': 0.6823836649437651, 'interactive_engagement': 0.4196307447539508, 'time_spent': 69.56325418458933}"
"{'student_id': 3, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.3411052717922126, 'quiz_score': 0.8399025934275367, 'interactive_engagement': 0.6225746026281268, 'time_spent': 21.880747057809728}","{'student_id': 3, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.599938771705668, 'quiz_score': 0.8754919293520533, 'interactive_engagement': 0.6647418717826197, 'time_spent': 34.348004682150396}","{'student_id': 3, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.28599272554815647, 'quiz_score': 0.736188233944395, 'interactive_engagement': 0.6550911022637448, 'time_spent': 36.276074823603395}","{'student_id': 3, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.6237751271589298, 'quiz_score': 0.9679328358232255, 'interactive_engagement': 0.6852639444041341, 'time_spent': 39.40580781866211}","{'student_id': 3, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.5123771771598329, 'quiz_score': 0.8742272181094847, 'interactive_engagement': 0.4627102980321636, 'time_spent': 32.041920019785}"
"{'student_id': 4, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.7519289628877598, 'quiz_score': 0.5139333250682419, 'interactive_engagement': 0.27683842924765345, 'time_spent': 57.71397961438934}","{'student_id': 4, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.9123119817708841, 'quiz_score': 0.6626420547694256, 'interactive_engagement': 0.45374809871077915, 'time_spent': 35.53981965697162}","{'student_id': 4, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.9756228574256727, 'quiz_score': 0.5338686954920835, 'interactive_engagement': 0.2800770416838184, 'time_spent': 39.86590739281427}","{'student_id': 4, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.9116906012302132, 'quiz_score': 0.6995226156565638, 'interactive_engagement': 0.23344931040171474, 'time_spent': 54.77878184798395}","{'student_id': 4, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.7797540312948189, 'quiz_score': 0.7793271510756823, 'interactive_engagement': 0.3445424229421313, 'time_spent': 55.63946305467676}"
"{'student_id': 5, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.3113959791662747, 'quiz_score': 0.673874166085959, 'interactive_engagement': 0.5814394338532193, 'time_spent': 61.286443135090764}","{'student_id': 5, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.26414386839397996, 'quiz_score': 0.832684799781665, 'interactive_engagement': 0.48701161760199085, 'time_spent': 55.00009149832372}","{'student_id': 5, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.40670183744099464, 'quiz_score': 0.8261325864372537, 'interactive_engagement': 0.40762793728805974, 'time_spent': 65.34092594087359}","{'student_id': 5, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.2776641793353045, 'quiz_score': 0.6945063807387902, 'interactive_engagement': 0.4833095564531755, 'time_spent': 69.71322589474374}","{'student_id': 5, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.4741064820271303, 'quiz_score': 0.6415168842770849, 'interactive_engagement': 0.2814752514218815, 'time_spent': 68.81571695860836}"
"{'student_id': 6, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.5778685392159073, 'quiz_score': 0.7105619837717836, 'interactive_engagement': 0.5784675099089617, 'time_spent': 36.24182510651697}","{'student_id': 6, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.2941064378732521, 'quiz_score': 0.8653969238130922, 'interactive_engagement': 0.3992958126063378, 'time_spent': 23.82625345952087}","{'student_id': 6, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.4090303487846025, 'quiz_score': 0.9068267607491464, 'interactive_engagement': 0.6192718964337234, 'time_spent': 39.620652142006755}","{'student_id': 6, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.45736280851585076, 'quiz_score': 0.8269307202536724, 'interactive_engagement': 0.5266221855811515, 'time_spent': 25.78113687135835}","{'student_id': 6, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.36233213879163306, 'quiz_score': 0.9434644623909146, 'interactive_engagement': 0.6557662496858454, 'time_spent': 26.500100042374434}"
"{'student_id': 7, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.8696453818344273, 'quiz_score': 0.6242862065399675, 'interactive_engagement': 0.4042027675460438, 'time_spent': 40.80884857052231}","{'student_id': 7, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.7098357858768428, 'quiz_score': 0.6015687832353676, 'interactive_engagement': 0.3698051876319068, 'time_spent': 54.156496194040365}","{'student_id': 7, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.8040264492566573, 'quiz_score': 0.5333688512958248, 'interactive_engagement': 0.19257142924312465, 'time_spent': 43.07574518327915}","{'student_id': 7, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.6936786286380767, 'quiz_score': 0.6111750245818913, 'interactive_engagement': 0.18253017121805218, 'time_spent': 30.00874088596999}","{'student_id': 7, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.8909565402630075, 'quiz_score': 0.5907434185625704, 'interactive_engagement': 0.36731083887806554, 'time_spent': 31.40975736418348}"
"{'student_id': 8, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.11524239255724424, 'quiz_score': 0.5261129724402653, 'interactive_engagement': 0.9182281795191855, 'time_spent': 44.384454491449084}","{'student_id': 8, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.3220372577266145, 'quiz_score': 0.599395318423447, 'interactive_engagement': 0.6591082259905849, 'time_spent': 59.05377391024982}","{'student_id': 8, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.27364495634431624, 'quiz_score': 0.5153185388512602, 'interactive_engagement': 0.7141789685835278, 'time_spent': 77.66916027380863}","{'student_id': 8, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.35869997136190146, 'quiz_score': 0.41953130059014426, 'interactive_engagement': 0.9815390270420297, 'time_spent': 49.277266394152406}","{'student_id': 8, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.328566765904778, 'quiz_score': 0.6243594119870807, 'interactive_engagement': 1.0167183777077908, 'time_spent': 60.560468249417326}"
"{'student_id': 9, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.36387315370020473, 'quiz_score': 0.9548997391990627, 'interactive_engagement': 0.6150601486891691, 'time_spent': 30.789281904524117}","{'student_id': 9, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.4531214582358336, 'quiz_score': 0.8323509784197384, 'interactive_engagement': 0.6518172012888607, 'time_spent': 37.02622678094534}","{'student_id': 9, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.35749362039030314, 'quiz_score': 0.8882135626337829, 'interactive_engagement': 0.5964418313022082, 'time_spent': 36.773458755945335}","{'student_id': 9, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.4104570150845779, 'quiz_score': 0.9238618979243857, 'interactive_engagement': 0.7167676400899854, 'time_spent': 33.963119563880205}","{'student_id': 9, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.49846187693316363, 'quiz_score': 0.7710146587023458, 'interactive_engagement': 0.5791615684456661, 'time_spent': 32.58598003173804}"
"{'student_id': 10, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.19534354862322795, 'quiz_score': 0.9012377040701196, 'interactive_engagement': 0.47531748374539323, 'time_spent': 55.565716266119836}","{'student_id': 10, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.39382532034250933, 'quiz_score': 0.8078891169849335, 'interactive_engagement': 0.41790571110483604, 'time_spent': 58.09181065639146}","{'student_id': 10, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.3103427695759402, 'quiz_score': 0.6928365875270017, 'interactive_engagement': 0.5961720474891666, 'time_spent': 69.23411919065985}","{'student_id': 10, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.2503144241012633, 'quiz_score': 0.8727127778527489, 'interactive_engagement': 0.4994404033951209, 'time_spent': 58.51342960354066}","{'student_id': 10, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.4213002888105324, 'quiz_score': 0.8519536065220089, 'interactive_engagement': 0.5208654587735467, 'time_spent': 65.92393469042288}"
